Año,Trimestre,Provincia,Fibra óptica,Accesos trimestre anterior,KPI
2014,1,Buenos Aires,120960.0,0.0,0.0
2014,2,Buenos Aires,120008.0,120960.0,-0.79
2014,3,Buenos Aires,124474.0,120008.0,3.72
2014,4,Buenos Aires,120528.0,124474.0,-3.17
2015,1,Buenos Aires,134177.0,120528.0,11.32
2015,2,Buenos Aires,115660.0,134177.0,-13.8
2015,3,Buenos Aires,113590.0,115660.0,-1.79
2015,4,Buenos Aires,103269.0,113590.0,-9.09
2016,1,Buenos Aires,111231.0,103269.0,7.71
2016,2,Buenos Aires,113070.0,111231.0,1.65
2016,3,Buenos Aires,113463.0,113070.0,0.35
2016,4,Buenos Aires,118747.0,113463.0,4.66
2017,1,Buenos Aires,118839.0,118747.0,0.08
2017,2,Buenos Aires,119132.0,118839.0,0.25
2017,3,Buenos Aires,124920.0,119132.0,4.86
2017,4,Buenos Aires,131181.0,124920.0,5.01
2018,1,Buenos Aires,133928.0,131181.0,2.09
2018,2,Buenos Aires,143626.0,133928.0,7.24
2018,3,Buenos Aires,156382.0,143626.0,8.88
2018,4,Buenos Aires,296102.0,156382.0,89.35
2019,1,Buenos Aires,336362.0,296102.0,13.6
2019,2,Buenos Aires,382971.0,336362.0,13.86
2019,3,Buenos Aires,425386.0,382971.0,11.08
2019,4,Buenos Aires,669194.0,425386.0,57.31
2020,1,Buenos Aires,720688.0,669194.0,7.69
2020,2,Buenos Aires,723072.0,720688.0,0.33
2020,3,Buenos Aires,749087.0,723072.0,3.6
2020,4,Buenos Aires,804991.0,749087.0,7.46
2021,1,Buenos Aires,821597.0,804991.0,2.06
2021,2,Buenos Aires,854173.0,821597.0,3.96
2021,3,Buenos Aires,885613.0,854173.0,3.68
2021,4,Buenos Aires,1176024.0,885613.0,32.79
2022,1,Buenos Aires,1242121.0,1176024.0,5.62
2022,2,Buenos Aires,1399043.0,1242121.0,12.63
2022,3,Buenos Aires,1436433.0,1399043.0,2.67
2022,4,Buenos Aires,1499149.0,1436433.0,4.37
2023,1,Buenos Aires,1551074.0,1499149.0,3.46
2023,2,Buenos Aires,1645945.0,1551074.0,6.12
2023,3,Buenos Aires,1740239.0,1645945.0,5.73
2023,4,Buenos Aires,1784593.0,1740239.0,2.55
2014,1,Capital Federal,17767.0,0.0,0.0
2014,2,Capital Federal,17729.0,17767.0,-0.21
2014,3,Capital Federal,17886.0,17729.0,0.89
2014,4,Capital Federal,17155.0,17886.0,-4.09
2015,1,Capital Federal,19334.0,17155.0,12.7
2015,2,Capital Federal,19786.0,19334.0,2.34
2015,3,Capital Federal,30974.0,19786.0,56.55
2015,4,Capital Federal,19818.0,30974.0,-36.02
2016,1,Capital Federal,36332.0,19818.0,83.33
2016,2,Capital Federal,36669.0,36332.0,0.93
2016,3,Capital Federal,36796.0,36669.0,0.35
2016,4,Capital Federal,38161.0,36796.0,3.71
2017,1,Capital Federal,38259.0,38161.0,0.26
2017,2,Capital Federal,38628.0,38259.0,0.96
2017,3,Capital Federal,33481.0,38628.0,-13.32
2017,4,Capital Federal,36277.0,33481.0,8.35
2018,1,Capital Federal,35535.0,36277.0,-2.05
2018,2,Capital Federal,35610.0,35535.0,0.21
2018,3,Capital Federal,35694.0,35610.0,0.24
2018,4,Capital Federal,33042.0,35694.0,-7.43
2019,1,Capital Federal,32281.0,33042.0,-2.3
2019,2,Capital Federal,36082.0,32281.0,11.77
2019,3,Capital Federal,24900.0,36082.0,-30.99
2019,4,Capital Federal,35534.0,24900.0,42.71
2020,1,Capital Federal,38898.0,35534.0,9.47
2020,2,Capital Federal,39482.0,38898.0,1.5
2020,3,Capital Federal,39417.0,39482.0,-0.16
2020,4,Capital Federal,39890.0,39417.0,1.2
2021,1,Capital Federal,39980.0,39890.0,0.23
2021,2,Capital Federal,41318.0,39980.0,3.35
2021,3,Capital Federal,42966.0,41318.0,3.99
2021,4,Capital Federal,60005.0,42966.0,39.66
2022,1,Capital Federal,62308.0,60005.0,3.84
2022,2,Capital Federal,121506.0,62308.0,95.01
2022,3,Capital Federal,129218.0,121506.0,6.35
2022,4,Capital Federal,138548.0,129218.0,7.22
2023,1,Capital Federal,156222.0,138548.0,12.76
2023,2,Capital Federal,136295.0,156222.0,-12.76
2023,3,Capital Federal,167428.0,136295.0,22.84
2023,4,Capital Federal,182520.0,167428.0,9.01
2014,1,Catamarca,17.0,0.0,0.0
2014,2,Catamarca,17.0,17.0,0.0
2014,3,Catamarca,15.0,17.0,-11.76
2014,4,Catamarca,16.0,15.0,6.67
2015,1,Catamarca,16.0,16.0,0.0
2015,2,Catamarca,15.0,16.0,-6.25
2015,3,Catamarca,15.0,15.0,0.0
2015,4,Catamarca,15.0,15.0,0.0
2016,1,Catamarca,15.0,15.0,0.0
2016,2,Catamarca,14.0,15.0,-6.67
2016,3,Catamarca,14.0,14.0,0.0
2016,4,Catamarca,14.0,14.0,0.0
2017,1,Catamarca,14.0,14.0,0.0
2017,2,Catamarca,14.0,14.0,0.0
2017,3,Catamarca,12.0,14.0,-14.29
2017,4,Catamarca,11.0,12.0,-8.33
2018,1,Catamarca,15.0,11.0,36.36
2018,2,Catamarca,15.0,15.0,0.0
2018,3,Catamarca,15.0,15.0,0.0
2018,4,Catamarca,16.0,15.0,6.67
2019,1,Catamarca,16.0,16.0,0.0
2019,2,Catamarca,13.0,16.0,-18.75
2019,3,Catamarca,13.0,13.0,0.0
2019,4,Catamarca,9506.0,13.0,73023.08
2020,1,Catamarca,12056.0,9506.0,26.83
2020,2,Catamarca,14878.0,12056.0,23.41
2020,3,Catamarca,16857.0,14878.0,13.3
2020,4,Catamarca,17856.0,16857.0,5.93
2021,1,Catamarca,18688.0,17856.0,4.66
2021,2,Catamarca,22331.0,18688.0,19.49
2021,3,Catamarca,22331.0,22331.0,0.0
2021,4,Catamarca,25100.0,22331.0,12.4
2022,1,Catamarca,29118.0,25100.0,16.01
2022,2,Catamarca,42087.0,29118.0,44.54
2022,3,Catamarca,46224.0,42087.0,9.83
2022,4,Catamarca,47337.0,46224.0,2.41
2023,1,Catamarca,50230.0,47337.0,6.11
2023,2,Catamarca,53177.0,50230.0,5.87
2023,3,Catamarca,54650.0,53177.0,2.77
2023,4,Catamarca,55437.0,54650.0,1.44
2014,1,Chaco,30.0,0.0,0.0
2014,2,Chaco,30.0,30.0,0.0
2014,3,Chaco,29.0,30.0,-3.33
2014,4,Chaco,31.0,29.0,6.9
2015,1,Chaco,164.0,31.0,429.03
2015,2,Chaco,179.0,164.0,9.15
2015,3,Chaco,186.0,179.0,3.91
2015,4,Chaco,186.0,186.0,0.0
2016,1,Chaco,211.0,186.0,13.44
2016,2,Chaco,221.0,211.0,4.74
2016,3,Chaco,232.0,221.0,4.98
2016,4,Chaco,248.0,232.0,6.9
2017,1,Chaco,252.0,248.0,1.61
2017,2,Chaco,458.0,252.0,81.75
2017,3,Chaco,456.0,458.0,-0.44
2017,4,Chaco,389.0,456.0,-14.69
2018,1,Chaco,383.0,389.0,-1.54
2018,2,Chaco,562.0,383.0,46.74
2018,3,Chaco,1990.0,562.0,254.09
2018,4,Chaco,1940.0,1990.0,-2.51
2019,1,Chaco,1951.0,1940.0,0.57
2019,2,Chaco,4203.0,1951.0,115.43
2019,3,Chaco,8063.0,4203.0,91.84
2019,4,Chaco,8831.0,8063.0,9.52
2020,1,Chaco,11958.0,8831.0,35.41
2020,2,Chaco,17266.0,11958.0,44.39
2020,3,Chaco,20675.0,17266.0,19.74
2020,4,Chaco,23687.0,20675.0,14.57
2021,1,Chaco,25426.0,23687.0,7.34
2021,2,Chaco,27584.0,25426.0,8.49
2021,3,Chaco,27583.0,27584.0,-0.0
2021,4,Chaco,34688.0,27583.0,25.76
2022,1,Chaco,36662.0,34688.0,5.69
2022,2,Chaco,42194.0,36662.0,15.09
2022,3,Chaco,44645.0,42194.0,5.81
2022,4,Chaco,47285.0,44645.0,5.91
2023,1,Chaco,49756.0,47285.0,5.23
2023,2,Chaco,51955.0,49756.0,4.42
2023,3,Chaco,54993.0,51955.0,5.85
2023,4,Chaco,62301.0,54993.0,13.29
2014,1,Chubut,866.0,0.0,0.0
2014,2,Chubut,866.0,866.0,0.0
2014,3,Chubut,882.0,866.0,1.85
2014,4,Chubut,891.0,882.0,1.02
2015,1,Chubut,906.0,891.0,1.68
2015,2,Chubut,916.0,906.0,1.1
2015,3,Chubut,916.0,916.0,0.0
2015,4,Chubut,916.0,916.0,0.0
2016,1,Chubut,916.0,916.0,0.0
2016,2,Chubut,916.0,916.0,0.0
2016,3,Chubut,916.0,916.0,0.0
2016,4,Chubut,916.0,916.0,0.0
2017,1,Chubut,916.0,916.0,0.0
2017,2,Chubut,916.0,916.0,0.0
2017,3,Chubut,1217.0,916.0,32.86
2017,4,Chubut,1187.0,1217.0,-2.47
2018,1,Chubut,1194.0,1187.0,0.59
2018,2,Chubut,1239.0,1194.0,3.77
2018,3,Chubut,1239.0,1239.0,0.0
2018,4,Chubut,952.0,1239.0,-23.16
2019,1,Chubut,1923.0,952.0,102.0
2019,2,Chubut,1917.0,1923.0,-0.31
2019,3,Chubut,1917.0,1917.0,0.0
2019,4,Chubut,1324.0,1917.0,-30.93
2020,1,Chubut,1324.0,1324.0,0.0
2020,2,Chubut,1324.0,1324.0,0.0
2020,3,Chubut,2897.0,1324.0,118.81
2020,4,Chubut,3040.0,2897.0,4.94
2021,1,Chubut,3444.0,3040.0,13.29
2021,2,Chubut,6081.0,3444.0,76.57
2021,3,Chubut,8946.0,6081.0,47.11
2021,4,Chubut,9655.0,8946.0,7.93
2022,1,Chubut,9184.0,9655.0,-4.88
2022,2,Chubut,9574.0,9184.0,4.25
2022,3,Chubut,9574.0,9574.0,0.0
2022,4,Chubut,9815.0,9574.0,2.52
2023,1,Chubut,9815.0,9815.0,0.0
2023,2,Chubut,16111.0,9815.0,64.15
2023,3,Chubut,25827.0,16111.0,60.31
2023,4,Chubut,26174.0,25827.0,1.34
2014,1,Corrientes,31.0,0.0,0.0
2014,2,Corrientes,31.0,31.0,0.0
2014,3,Corrientes,31.0,31.0,0.0
2014,4,Corrientes,40.0,31.0,29.03
2015,1,Corrientes,129.0,40.0,222.5
2015,2,Corrientes,157.0,129.0,21.71
2015,3,Corrientes,176.0,157.0,12.1
2015,4,Corrientes,177.0,176.0,0.57
2016,1,Corrientes,192.0,177.0,8.47
2016,2,Corrientes,203.0,192.0,5.73
2016,3,Corrientes,217.0,203.0,6.9
2016,4,Corrientes,233.0,217.0,7.37
2017,1,Corrientes,236.0,233.0,1.29
2017,2,Corrientes,258.0,236.0,9.32
2017,3,Corrientes,947.0,258.0,267.05
2017,4,Corrientes,894.0,947.0,-5.6
2018,1,Corrientes,888.0,894.0,-0.67
2018,2,Corrientes,201.0,888.0,-77.36
2018,3,Corrientes,212.0,201.0,5.47
2018,4,Corrientes,796.0,212.0,275.47
2019,1,Corrientes,1615.0,796.0,102.89
2019,2,Corrientes,1701.0,1615.0,5.33
2019,3,Corrientes,1888.0,1701.0,10.99
2019,4,Corrientes,2002.0,1888.0,6.04
2020,1,Corrientes,2172.0,2002.0,8.49
2020,2,Corrientes,3144.0,2172.0,44.75
2020,3,Corrientes,2960.0,3144.0,-5.85
2020,4,Corrientes,3146.0,2960.0,6.28
2021,1,Corrientes,3337.0,3146.0,6.07
2021,2,Corrientes,3731.0,3337.0,11.81
2021,3,Corrientes,7542.0,3731.0,102.14
2021,4,Corrientes,10138.0,7542.0,34.42
2022,1,Corrientes,10875.0,10138.0,7.27
2022,2,Corrientes,18181.0,10875.0,67.18
2022,3,Corrientes,18619.0,18181.0,2.41
2022,4,Corrientes,26752.0,18619.0,43.68
2023,1,Corrientes,30016.0,26752.0,12.2
2023,2,Corrientes,32834.0,30016.0,9.39
2023,3,Corrientes,36032.0,32834.0,9.74
2023,4,Corrientes,35968.0,36032.0,-0.18
2014,1,Córdoba,347.0,0.0,0.0
2014,2,Córdoba,351.0,347.0,1.15
2014,3,Córdoba,444.0,351.0,26.5
2014,4,Córdoba,419.0,444.0,-5.63
2015,1,Córdoba,415.0,419.0,-0.95
2015,2,Córdoba,435.0,415.0,4.82
2015,3,Córdoba,1450.0,435.0,233.33
2015,4,Córdoba,480.0,1450.0,-66.9
2016,1,Córdoba,674.0,480.0,40.42
2016,2,Córdoba,1709.0,674.0,153.56
2016,3,Córdoba,2540.0,1709.0,48.62
2016,4,Córdoba,3368.0,2540.0,32.6
2017,1,Córdoba,4871.0,3368.0,44.63
2017,2,Córdoba,4451.0,4871.0,-8.62
2017,3,Córdoba,10579.0,4451.0,137.68
2017,4,Córdoba,12778.0,10579.0,20.79
2018,1,Córdoba,13178.0,12778.0,3.13
2018,2,Córdoba,13832.0,13178.0,4.96
2018,3,Córdoba,15785.0,13832.0,14.12
2018,4,Córdoba,17675.0,15785.0,11.97
2019,1,Córdoba,19902.0,17675.0,12.6
2019,2,Córdoba,23023.0,19902.0,15.68
2019,3,Córdoba,30064.0,23023.0,30.58
2019,4,Córdoba,53335.0,30064.0,77.4
2020,1,Córdoba,68512.0,53335.0,28.46
2020,2,Córdoba,85818.0,68512.0,25.26
2020,3,Córdoba,102217.0,85818.0,19.11
2020,4,Córdoba,125620.0,102217.0,22.9
2021,1,Córdoba,134634.0,125620.0,7.18
2021,2,Córdoba,151855.0,134634.0,12.79
2021,3,Córdoba,167495.0,151855.0,10.3
2021,4,Córdoba,217214.0,167495.0,29.68
2022,1,Córdoba,235838.0,217214.0,8.57
2022,2,Córdoba,308895.0,235838.0,30.98
2022,3,Córdoba,338570.0,308895.0,9.61
2022,4,Córdoba,367393.0,338570.0,8.51
2023,1,Córdoba,386297.0,367393.0,5.15
2023,2,Córdoba,411703.0,386297.0,6.58
2023,3,Córdoba,417338.0,411703.0,1.37
2023,4,Córdoba,440536.0,417338.0,5.56
2014,1,Entre Ríos,49.0,0.0,0.0
2014,2,Entre Ríos,49.0,49.0,0.0
2014,3,Entre Ríos,48.0,49.0,-2.04
2014,4,Entre Ríos,57.0,48.0,18.75
2015,1,Entre Ríos,108.0,57.0,89.47
2015,2,Entre Ríos,119.0,108.0,10.19
2015,3,Entre Ríos,122.0,119.0,2.52
2015,4,Entre Ríos,122.0,122.0,0.0
2016,1,Entre Ríos,146.0,122.0,19.67
2016,2,Entre Ríos,169.0,146.0,15.75
2016,3,Entre Ríos,206.0,169.0,21.89
2016,4,Entre Ríos,226.0,206.0,9.71
2017,1,Entre Ríos,230.0,226.0,1.77
2017,2,Entre Ríos,254.0,230.0,10.43
2017,3,Entre Ríos,1786.0,254.0,603.15
2017,4,Entre Ríos,1894.0,1786.0,6.05
2018,1,Entre Ríos,3789.0,1894.0,100.05
2018,2,Entre Ríos,2405.0,3789.0,-36.53
2018,3,Entre Ríos,2403.0,2405.0,-0.08
2018,4,Entre Ríos,4853.0,2403.0,101.96
2019,1,Entre Ríos,12723.0,4853.0,162.17
2019,2,Entre Ríos,12764.0,12723.0,0.32
2019,3,Entre Ríos,12888.0,12764.0,0.97
2019,4,Entre Ríos,12875.0,12888.0,-0.1
2020,1,Entre Ríos,13245.0,12875.0,2.87
2020,2,Entre Ríos,13954.0,13245.0,5.35
2020,3,Entre Ríos,13954.0,13954.0,0.0
2020,4,Entre Ríos,15653.0,13954.0,12.18
2021,1,Entre Ríos,16846.0,15653.0,7.62
2021,2,Entre Ríos,17856.0,16846.0,6.0
2021,3,Entre Ríos,20485.0,17856.0,14.72
2021,4,Entre Ríos,23452.0,20485.0,14.48
2022,1,Entre Ríos,23091.0,23452.0,-1.54
2022,2,Entre Ríos,35839.0,23091.0,55.21
2022,3,Entre Ríos,36971.0,35839.0,3.16
2022,4,Entre Ríos,40798.0,36971.0,10.35
2023,1,Entre Ríos,44508.0,40798.0,9.09
2023,2,Entre Ríos,49251.0,44508.0,10.66
2023,3,Entre Ríos,54794.0,49251.0,11.25
2023,4,Entre Ríos,61667.0,54794.0,12.54
2014,1,Formosa,0.0,0.0,0.0
2014,2,Formosa,0.0,0.0,100.0
2014,3,Formosa,0.0,0.0,100.0
2014,4,Formosa,1.0,0.0,100.0
2015,1,Formosa,1.0,1.0,0.0
2015,2,Formosa,2.0,1.0,100.0
2015,3,Formosa,2.0,2.0,0.0
2015,4,Formosa,4.0,2.0,100.0
2016,1,Formosa,5.0,4.0,25.0
2016,2,Formosa,6.0,5.0,20.0
2016,3,Formosa,9.0,6.0,50.0
2016,4,Formosa,16.0,9.0,77.78
2017,1,Formosa,16.0,16.0,0.0
2017,2,Formosa,17.0,16.0,6.25
2017,3,Formosa,428.0,17.0,2417.65
2017,4,Formosa,19.0,428.0,-95.56
2018,1,Formosa,17.0,19.0,-10.53
2018,2,Formosa,18.0,17.0,5.88
2018,3,Formosa,817.0,18.0,4438.89
2018,4,Formosa,887.0,817.0,8.57
2019,1,Formosa,940.0,887.0,5.98
2019,2,Formosa,1382.0,940.0,47.02
2019,3,Formosa,1476.0,1382.0,6.8
2019,4,Formosa,1760.0,1476.0,19.24
2020,1,Formosa,1800.0,1760.0,2.27
2020,2,Formosa,1882.0,1800.0,4.56
2020,3,Formosa,2000.0,1882.0,6.27
2020,4,Formosa,2432.0,2000.0,21.6
2021,1,Formosa,2562.0,2432.0,5.35
2021,2,Formosa,3610.0,2562.0,40.91
2021,3,Formosa,4730.0,3610.0,31.02
2021,4,Formosa,5151.0,4730.0,8.9
2022,1,Formosa,5146.0,5151.0,-0.1
2022,2,Formosa,9875.0,5146.0,91.9
2022,3,Formosa,11041.0,9875.0,11.81
2022,4,Formosa,13118.0,11041.0,18.81
2023,1,Formosa,13345.0,13118.0,1.73
2023,2,Formosa,13698.0,13345.0,2.65
2023,3,Formosa,14904.0,13698.0,8.8
2023,4,Formosa,16179.0,14904.0,8.55
2014,1,Jujuy,23.0,0.0,0.0
2014,2,Jujuy,23.0,23.0,0.0
2014,3,Jujuy,22.0,23.0,-4.35
2014,4,Jujuy,22.0,22.0,0.0
2015,1,Jujuy,22.0,22.0,0.0
2015,2,Jujuy,22.0,22.0,0.0
2015,3,Jujuy,22.0,22.0,0.0
2015,4,Jujuy,22.0,22.0,0.0
2016,1,Jujuy,22.0,22.0,0.0
2016,2,Jujuy,22.0,22.0,0.0
2016,3,Jujuy,22.0,22.0,0.0
2016,4,Jujuy,22.0,22.0,0.0
2017,1,Jujuy,22.0,22.0,0.0
2017,2,Jujuy,22.0,22.0,0.0
2017,3,Jujuy,20.0,22.0,-9.09
2017,4,Jujuy,20.0,20.0,0.0
2018,1,Jujuy,23.0,20.0,15.0
2018,2,Jujuy,23.0,23.0,0.0
2018,3,Jujuy,32.0,23.0,39.13
2018,4,Jujuy,153.0,32.0,378.12
2019,1,Jujuy,153.0,153.0,0.0
2019,2,Jujuy,274.0,153.0,79.08
2019,3,Jujuy,274.0,274.0,0.0
2019,4,Jujuy,873.0,274.0,218.61
2020,1,Jujuy,3078.0,873.0,252.58
2020,2,Jujuy,5057.0,3078.0,64.29
2020,3,Jujuy,11112.0,5057.0,119.74
2020,4,Jujuy,15639.0,11112.0,40.74
2021,1,Jujuy,17322.0,15639.0,10.76
2021,2,Jujuy,19611.0,17322.0,13.21
2021,3,Jujuy,19926.0,19611.0,1.61
2021,4,Jujuy,24156.0,19926.0,21.23
2022,1,Jujuy,25949.0,24156.0,7.42
2022,2,Jujuy,34184.0,25949.0,31.74
2022,3,Jujuy,40172.0,34184.0,17.52
2022,4,Jujuy,42626.0,40172.0,6.11
2023,1,Jujuy,46271.0,42626.0,8.55
2023,2,Jujuy,47289.0,46271.0,2.2
2023,3,Jujuy,48350.0,47289.0,2.24
2023,4,Jujuy,49947.0,48350.0,3.3
2014,1,La Pampa,513.0,0.0,0.0
2014,2,La Pampa,513.0,513.0,0.0
2014,3,La Pampa,538.0,513.0,4.87
2014,4,La Pampa,514.0,538.0,-4.46
2015,1,La Pampa,3215.0,514.0,525.49
2015,2,La Pampa,3719.0,3215.0,15.68
2015,3,La Pampa,4078.0,3719.0,9.65
2015,4,La Pampa,4327.0,4078.0,6.11
2016,1,La Pampa,4536.0,4327.0,4.83
2016,2,La Pampa,4708.0,4536.0,3.79
2016,3,La Pampa,4910.0,4708.0,4.29
2016,4,La Pampa,5054.0,4910.0,2.93
2017,1,La Pampa,5194.0,5054.0,2.77
2017,2,La Pampa,5194.0,5194.0,0.0
2017,3,La Pampa,5153.0,5194.0,-0.79
2017,4,La Pampa,8272.0,5153.0,60.53
2018,1,La Pampa,8386.0,8272.0,1.38
2018,2,La Pampa,8420.0,8386.0,0.41
2018,3,La Pampa,8437.0,8420.0,0.2
2018,4,La Pampa,2685.0,8437.0,-68.18
2019,1,La Pampa,2891.0,2685.0,7.67
2019,2,La Pampa,4840.0,2891.0,67.42
2019,3,La Pampa,4994.0,4840.0,3.18
2019,4,La Pampa,4942.0,4994.0,-1.04
2020,1,La Pampa,13821.0,4942.0,179.66
2020,2,La Pampa,14232.0,13821.0,2.97
2020,3,La Pampa,14677.0,14232.0,3.13
2020,4,La Pampa,15432.0,14677.0,5.14
2021,1,La Pampa,15779.0,15432.0,2.25
2021,2,La Pampa,17132.0,15779.0,8.57
2021,3,La Pampa,17817.0,17132.0,4.0
2021,4,La Pampa,20192.0,17817.0,13.33
2022,1,La Pampa,21739.0,20192.0,7.66
2022,2,La Pampa,22994.0,21739.0,5.77
2022,3,La Pampa,23551.0,22994.0,2.42
2022,4,La Pampa,24552.0,23551.0,4.25
2023,1,La Pampa,28126.0,24552.0,14.56
2023,2,La Pampa,31449.0,28126.0,11.81
2023,3,La Pampa,32891.0,31449.0,4.59
2023,4,La Pampa,34331.0,32891.0,4.38
2014,1,La Rioja,14.0,0.0,0.0
2014,2,La Rioja,14.0,14.0,0.0
2014,3,La Rioja,14.0,14.0,0.0
2014,4,La Rioja,17.0,14.0,21.43
2015,1,La Rioja,16.0,17.0,-5.88
2015,2,La Rioja,16.0,16.0,0.0
2015,3,La Rioja,16.0,16.0,0.0
2015,4,La Rioja,16.0,16.0,0.0
2016,1,La Rioja,16.0,16.0,0.0
2016,2,La Rioja,15.0,16.0,-6.25
2016,3,La Rioja,15.0,15.0,0.0
2016,4,La Rioja,16.0,15.0,6.67
2017,1,La Rioja,15.0,16.0,-6.25
2017,2,La Rioja,15.0,15.0,0.0
2017,3,La Rioja,14.0,15.0,-6.67
2017,4,La Rioja,14.0,14.0,0.0
2018,1,La Rioja,13.0,14.0,-7.14
2018,2,La Rioja,13.0,13.0,0.0
2018,3,La Rioja,13.0,13.0,0.0
2018,4,La Rioja,12.0,13.0,-7.69
2019,1,La Rioja,12.0,12.0,0.0
2019,2,La Rioja,11.0,12.0,-8.33
2019,3,La Rioja,11.0,11.0,0.0
2019,4,La Rioja,0.0,11.0,-100.0
2020,1,La Rioja,0.0,0.0,100.0
2020,2,La Rioja,1.0,0.0,100.0
2020,3,La Rioja,1.0,1.0,0.0
2020,4,La Rioja,1.0,1.0,0.0
2021,1,La Rioja,1.0,1.0,0.0
2021,2,La Rioja,9445.0,1.0,944400.0
2021,3,La Rioja,9444.0,9445.0,-0.01
2021,4,La Rioja,9446.0,9444.0,0.02
2022,1,La Rioja,9546.0,9446.0,1.06
2022,2,La Rioja,19189.0,9546.0,101.02
2022,3,La Rioja,19697.0,19189.0,2.65
2022,4,La Rioja,19328.0,19697.0,-1.87
2023,1,La Rioja,20722.0,19328.0,7.21
2023,2,La Rioja,21245.0,20722.0,2.52
2023,3,La Rioja,22054.0,21245.0,3.81
2023,4,La Rioja,22559.0,22054.0,2.29
